"","task","id","group","session","trial","condition","trialxcondition","RT","ACC","liking"
"1","pav",100,"control","second",1,"CSminus",1,0.3342723,1,97.3684236364266
"2","pav",100,"control","second",2,"CSplus",1,0.4199233,1,61.1842127162396
"3","pav",100,"control","second",3,"CSminus",2,0.2910164,1,97.3684236364266
"4","pav",100,"control","second",4,"CSplus",2,0.3646661,1,61.1842127162396
"5","pav",100,"control","second",5,"CSplus",3,0.4597159,1,61.1842127162396
"6","pav",100,"control","second",6,"CSminus",3,0.3056092,1,97.3684236364266
"7","pav",100,"control","second",7,"CSplus",4,0.4978054,1,61.1842127162396
"8","pav",100,"control","second",8,"CSminus",4,0.2420313,1,97.3684236364266
"9","pav",100,"control","second",9,"CSminus",5,0.2920713,1,97.3684236364266
"10","pav",100,"control","second",10,"CSplus",5,0.281965,1,61.1842127162396
"11","pav",100,"control","second",11,"CSminus",6,0.3879149,1,97.3684236364266
"12","pav",100,"control","second",12,"CSplus",6,0.5057978,1,61.1842127162396
"13","pav",100,"control","second",13,"CSplus",7,0.5084935,1,61.1842127162396
"14","pav",100,"control","second",14,"CSminus",7,0.5533945,1,97.3684236364266
"15","pav",100,"control","second",15,"CSplus",8,0.3515404,1,61.1842127162396
"16","pav",100,"control","second",16,"CSminus",8,0.2834894,1,97.3684236364266
"17","pav",100,"control","second",17,"CSminus",9,0.366843,1,97.3684236364266
"18","pav",100,"control","second",18,"CSplus",9,0.4654166,1,61.1842127162396
"19","pav",100,"control","second",19,"CSminus",10,0.2628457,1,97.3684236364266
"20","pav",100,"control","second",20,"CSplus",10,0.446262,1,61.1842127162396
"21","pav",100,"control","second",21,"CSminus",11,0.4181785,1,97.3684236364266
"22","pav",100,"control","second",22,"CSplus",11,0.451209,1,61.1842127162396
"23","pav",100,"control","second",23,"CSminus",12,0.2560897,1,97.3684236364266
"24","pav",100,"control","second",24,"CSplus",12,0.358109,1,61.1842127162396
"25","pav",100,"control","second",25,"CSminus",13,0.2875506,1,97.3684236364266
"26","pav",100,"control","second",26,"CSplus",13,0.3627148,1,61.1842127162396
"27","pav",100,"control","second",27,"CSminus",14,0.3724946,1,97.3684236364266
"28","pav",100,"control","second",28,"CSplus",14,0.3990213,1,61.1842127162396
"29","pav",100,"control","second",29,"CSplus",15,0.3121949,1,61.1842127162396
"30","pav",100,"control","second",30,"CSminus",15,0.3650542,1,97.3684236364266
"31","pav",100,"control","second",31,"CSplus",16,0.3630034,1,61.1842127162396
"32","pav",100,"control","second",32,"CSminus",16,0.371204,1,97.3684236364266
"33","pav",100,"control","second",33,"CSplus",17,0.9943268,1,61.1842127162396
"34","pav",100,"control","second",34,"CSminus",17,0.3122571,1,97.3684236364266
"35","pav",100,"control","second",35,"CSminus",18,0.2481342,1,97.3684236364266
"36","pav",100,"control","second",36,"CSplus",18,0.2857651,1,61.1842127162396
"37","pav",100,"control","second",37,"CSplus",19,0.5315983,1,61.1842127162396
"38","pav",100,"control","second",38,"CSminus",19,0.2609713,1,97.3684236364266
"39","pav",100,"control","second",39,"CSplus",20,0.3377728,1,61.1842127162396
"40","pav",100,"control","second",40,"CSminus",20,0.2724539,1,97.3684236364266
"41","pav",102,"control","second",1,"CSplus",1,0.4529798,1,82.2368475721954
"42","pav",102,"control","second",2,"CSminus",1,0.5851755,1,81.2500004490132
"43","pav",102,"control","second",3,"CSplus",2,0.3871594,1,82.2368475721954
"44","pav",102,"control","second",4,"CSminus",2,0.4472258,1,81.2500004490132
"45","pav",102,"control","second",5,"CSminus",3,0.4511677,1,81.2500004490132
"46","pav",102,"control","second",6,"CSplus",3,0.4786419,1,82.2368475721954
"47","pav",102,"control","second",7,"CSminus",4,0.3891011,1,81.2500004490132
"48","pav",102,"control","second",8,"CSplus",4,0.3907202,1,82.2368475721954
"49","pav",102,"control","second",9,"CSplus",5,0.4301316,1,82.2368475721954
"50","pav",102,"control","second",10,"CSminus",5,0.5283444,1,81.2500004490132
"51","pav",102,"control","second",11,"CSminus",6,0.4892778,1,81.2500004490132
"52","pav",102,"control","second",12,"CSplus",6,0.426065,1,82.2368475721954
"53","pav",102,"control","second",13,"CSplus",7,0.503777,1,82.2368475721954
"54","pav",102,"control","second",14,"CSminus",7,0.4610297,1,81.2500004490132
"55","pav",102,"control","second",15,"CSplus",8,0.4701434,1,82.2368475721954
"56","pav",102,"control","second",16,"CSminus",8,0.5255043,1,81.2500004490132
"57","pav",102,"control","second",17,"CSplus",9,0.4573585,1,82.2368475721954
"58","pav",102,"control","second",18,"CSminus",9,0.769044,1,81.2500004490132
"59","pav",102,"control","second",19,"CSplus",10,0.4410116,1,82.2368475721954
